category,town,name,url,live_on_site
Books & Gifts,Ann Arbor,The Himalyan Bazaar,https://squareup.com/gift/7K3TABMCGXEMW/order,TRUE
Books & Gifts,Ann Arbor,Found,https://foundgallery.com/products/found-gift-card,TRUE
Books & Gifts,Royal Oak,Made In The Mitten,https://www.madeinthemittenstore.com/products/made-in-the-mitten-gift-card,TRUE
Books & Gifts,Ann Arbor|Grand Rapids,Roeda Studio,https://roedastudio.com/shop-metal-art/brighten-your-life/gift-certificate/,TRUE
Other,Ann Arbor|Detroit|Novi,The M Den,https://www.mden.com/gift-cards.html#1,TRUE
Food & Drink,Zeeland,La Creme,https://www.lacremezeeland.com/e-gift-cards.html,TRUE
Food & Drink,Fenton,Crust,https://crustandbeyond.com/product/crust-gift-cards/crust-gift-card-with-donation-option/,TRUE
Food & Drink,Flint,Blackstone's Steakhouse,https://www.blackstonessmokehouse.com/,TRUE
Food & Drink,Frankenmuth,Bavarian Inn Restaurant & Lodge,https://onlinestore.bavarianinn.com/collections/gift-card,TRUE
Food & Drink,Frankenmuth,Zehnder's of Frankenmuth,https://www.zehndersstore.com/product/zehnders-gift-cards/,TRUE
Food & Drink,Bloomfield Hills|Detroit,Joe Muer,https://joemuer.com/shop/,TRUE
Food & Drink,Birmingham,Mad Hatter Bistro,https://www.toasttab.com/mad-hatter-bistro-birmingham/giftcards,TRUE
Food & Drink,Birmingham,Tallullah Wine Bar and Bistro,https://giftup.app/place-order/4c1e437d-5102-4243-82ef-8267e9d715e9?platform=Hosted,TRUE
Food & Drink,Shelby Township,Detroit Fish House,https://detroitfishhouse.com/gift-certificates/,TRUE
Food & Drink,Birmingham|Northville,Hyde Park Prime Steakhouse,http://hydeparkgiftcards-com.3dcartstores.com/Hyde-Park-Gift-Card-20-off-Promotion_p_13.html,TRUE
Food & Drink,Grand Rapids,Max's South Seas Hideaway,https://www.toasttab.com/maxs-south-seas-hideaway/giftcards,TRUE
Food & Drink,Grand Rapids,Leo's Restaurant,https://www.leosrestaurant.com/store/gift-certificates,TRUE
Food & Drink,Trenton,Roundhouse BBQ,https://www.toasttab.com/round-house-bbq/giftcards,TRUE
Food & Drink,Trenton,Truago,https://www.toasttab.com/truago/giftcards,TRUE
Food & Drink,Fenton,The Laundry,https://lunchandbeyond.com/shop/gift-cards/laundry-gift-card-with-donation-option/,TRUE
Food & Drink,Traverse City,Peegeo's,https://www.peegeos.com/get-the-gear/,TRUE
Food & Drink,Detroit,FOLK,https://www.toasttab.com/folk/giftcards,TRUE
Food & Drink,Detroit,Mudgie's Deli,https://www.toasttab.com/mudgies-deli/giftcards,TRUE
Food & Drink,Flint,The Eberson,https://www.toasttab.com/the-eberson/giftcards,TRUE
Food & Drink,Flint,Xolo,https://www.toasttab.com/xolo/giftcards,TRUE
Food & Drink,Traverse City,Red Mesa Grill,https://www.magnumhospitality.com/gift-cards/,TRUE
Food & Drink,Traverse City,Taproot Cider House,https://www.toasttab.com/taprootciderhouse/giftcards,TRUE
Food & Drink,Saginaw,Beef O'Brady's,https://www.beefobradys.com/gift-cards.aspx,TRUE
Food & Drink,Saugatuck,Coast 236 Restaurant & Bar,https://www.toasttab.com/coast236/giftcards,TRUE
Food & Drink,Saugatuck,Grow Cafe & Bistro,https://www.toasttab.com/grow-cafe-bistro-302-culver-st/giftcards,TRUE
Food & Drink,Saugatuck,Lucy's Sauggy Dollar Bar,https://www.toasttab.com/lucys-little-kitchen/giftcards,TRUE
